cluster,topics,aspects
140.0,"['unwant', 'unnecessari', 'lot', 'applic', 'app', 'even', 'lke', 'pre', 'googl', 'remov', 'work', 'pre-instal', 'need', 'download', 'uninstal', 'instal']","unnecessary apps , pre installed apps "
141.0,"['apps,', 'instal', 'time', 'load', 'take', 'applic', 'open', 'app', 'even', 'slow', 'run', 'close', 'lag']","apps, performance, lag "
142.0,"['sometim', 'time', 'day', 'updat', 'use', 'blink', 'lot', 'softwar', 'issu', 'start', 'bright', 'flicker', 'display', 'problem', 'screen', 'low']","screen flicker , display, blinking "
143.0,"['dialer', 'dailer', 'dialer,', 'updat', 'one', 'use', 'featur', 'function', 'new', 'app', 'dialler', 'googl', 'messag', 'experi']",dialer
144.0,"['well', 'powerpack', 'complet', 'one', 'perfect', 'budget', 'packag', 'overall,', 'total', 'valu', 'overal', 'deal', 'price', 'point']",none
145.0,"['averag', 'afford', 'worth', 'look', 'offer', 'overpr', 'featur', 'money', 'compar', 'rang', 'cost', 'valu', 'need', 'give', 'price']","price, worth , money  "
146.0,"['advanc', 'rest', 'look', 'basic', 'use', 'one', 'featur', 'lot', 'new', 'miss', 'amaz', 'less', 'work', 'ok', 'whch', 'ths', 'wth']",features
147.0,"['noth', 'look', 'releas', 'one', 'model', 'suggest', 'money', 'far', 'recommend', 'total', 'wll', 'bought', 'particular', 'whch', 'ths', 'wth']",none
148.0,"['never', 'well', 'met', 'one', 'upto', 'high', 'meet', 'beyond', 'per', 'pleas', 'expect', 'live']",none
149.0,"['hear', 'call', 'qualiti', 'clear', 'speaker', 'issu', 'receiv', 'sound', 'person', 'problem', 'voic', 'low']","call , speaker, voice, sound"
150.0,"['qualiti', 'nois', 'hear', 'microphon', 'proper', 'speaker', 'mic', 'issu', 'work', 'cancel', 'problem', 'mike']","noise, microphone, speaker"
151.0,"['qualiti', 'support', 'speaker', 'stereo', 'vision', 'headphon', 'audio', 'effect', 'work', 'sound', 'dolbi', 'atmo', 'ths', 'feel']","audio, speaker , sound, dolby atmos"
152.0,"['qualiti', 'enough', 'clear', 'one', 'speaker', 'stereo', 'dual', 'volum', 'poor', 'audio', 'work', 'sound', 'loud', 'low']","speaker, stereo , volumne, audio"
153.0,"['qualiti', 'call', 'averag', 'superb', 'complaint', 'poor', 'compar', 'quality:', 'issu', 'come', 'get', 'honor', '5)', 'android', 'problem', 'decent']",call quality
154.0,"['call', 'switch', 'light', 'automat', 'turn', 'call,', 'get', 'app', 'blank', 'even', 'button', 'lock', 'touch', 'screen']","call, screen"
155.0,"['call', 'time', 'connect', 'take', 'disconnect', 'issu', 'incom', 'get', 'number', 'second', 'show', 'even', 'abl', 'problem', 'caller']",calls
156.0,"['qualiti', 'cam', 'camera', 'poor', 'money', 'camara', 'camra', 'expect', 'perform', 'ths', 'qualti']",camera
157.0,"['qualiti', '5g', 'support', 'camera', 'one', 'band', 'camara', 'wll', 'batteri', 'devc', 'perform', 'price', 'ths', 'wth']","5g, camera"
158.0,"['qualiti', 'phone', 'look', 'averag', 'phone,', 'camera', 'one', 'pictur', 'poor', 'compar', 'rang', 'flagship', 'get', 'perform', 'price']","5g, camera"
159.0,"['time', 'day', 'restart', 'switch', 'automat', 'turn', 'issu', 'get', 'reboot', 'reset', 'set', 'start', 'need']",restart issue
160.0,"['time', 'galleri', 'load', 'one', 'pictur', 'take', 'photo', 'open', 'delet', 'app', 'second', 'even', 'folder']","gallery, performance"
161.0,"['well', 'job', 'perfect', 'quit', 'flawless', 'issu', 'far', 'everyth', 'even', 'charm', 'work', 'fine', 'till']",none
162.0,"['basic', 'daili', 'averag', 'day', 'user', 'medium', 'overal', 'everyday', 'use', 'perfect', 'normal', 'usag', 'ok', 'ths']","average use,, everyday use "
163.0,"['qualiti', 'averag', 'play', 'game', 'camera', 'use', 'want', 'gamer', 'experi', 'budget', 'batteri', 'heavi', 'perform', 'price', 'screen']","gaming, camera , battery"
164.0,"['qualiti', 'quality,', 'averag', 'call', 'good,', 'camera', 'speaker', 'poor', 'stereo', 'sound', 'batteri', 'low', 'camera,']","camera ,speaker"
165.0,"['one', 'money', 'qoo7', 'legend', 'lke', 'qoo', 'vvo', 'prce', 'would', 'could', 'whch', 'ths', 'wth']",brand
166.0,"['tme', 'purchas', 'day', 'mobl', 'one', 'lke', 'amazon', 'got', 'replac', 'wll', 'usng', 'bought', 'ths', 'wth']",none
167.0,"['1%', 'almost', 'take', '20', '45', 'percent', 'hour', '100', '100%', 'reach', 'min', '15', '0-100%', 'minut']","battery, charging"
168.0,"['qualiti', 'otherwis', 'look', 'one', 'strong', 'wise', 'piec', 'come', 'amaz', 'grade', 'capabl', 'review', 'premium', 'hardwar', 'price', 'militari', 'feel']","hardware, looks, feel"
169.0,"['devic', 'look', 'time', 'taken', '12mp', 'perfect', 'camera', 'pictur', 'use', 'sound', 'photo', 'get', 'click', 'pic', 'detail']",camera
170.0,"['worth', 'day', 'use', 'one', 'almost', 'last', 'money', '20', 'month', 'week', 'experi', 'usag', 'sinc', 'two']",none
171.0,"['easili', 'day', 'half', 'full', 'one', 'use', 'normal', 'last', 'even', 'hour', 'usag', 'heavi', 'moder']",normal use
172.0,"['smooth', 'qualiti', 'well', 'os', 'oper', 'glichti', 'butter', 'everyth', 'transit', 'king', 'super', 'ultra', 'display', 'screen', 'thing']",display
173.0,"['never', 'time', 'disappoint', 'dissapoint', 'one', 'bit', 'huge', 'surpris', 'lot', 'shame', 'big', 'total', 'slight', 'thing']",none
174.0,"['nightmod', 'mode', 'differ', 'time', 'updat', 'job', 'mode,', 'bit', 'night', 'featur', 'new', 'button', 'work', 'ok', 'need', 'option']",night mode
175.0,"['qualiti', 'mode', 'daylight', 'day', 'condit', 'photographi', 'camera', 'pictur', 'night', 'photo', 'even', 'perform', 'light', 'low']","daylight, night time , camera"
176.0,"['purchas', 'day', 'one', 'issu', 'got', 'replac', 'within', 'month', 'damag', 'work', 'display', 'problem', 'screen']","screen , display"
177.0,"['mode', 'dsplay', 'disabl', 'use', 'screen', 'snapchat', 'even', 'app', 'issu', 'applic', 'still', 'set', 'work', 'option', 'dark']","screen , display, darkmode"
178.0,"['sunlight', 'enough', 'screen', 'direct', 'outdoor', 'auto', 'even', 'bright', 'level', 'display', 'light', 'low']","screen ,sunlight, brightness, display"
179.0,"['photographi', 'depend', 'lover', 'look', 'photography,', 'suggest', 'photograph', 'take', 'photo', 'rang', 'profession', 'would', 'skill', 'professon', 'ths', 'wll']",photography
180.0,"['superb', 'wast', 'mode', 'clear', 'camera', 'pictur', 'photo', 'even', 'cleariti', 'clariti', 'super', 'expect', 'space', 'price']","camera clarity, camera"
181.0,"['worth', 'purchas', 'complet', 'one', 'quit', 'fulli', 'happi', 'overall,', 'satisfi', 'overal', 'satisfact', 'price', 'ths', 'wth']",worth
182.0,"['look', 'doubt', 'today', 'day', 'last', 'qute', 'lke', 'happi', 'week', 'overal', 'year', 'wth', 'ths', 'love']",none
183.0,"['qualiti', 'sometim', 'look', 'camera', 'pictur', 'poor', 'high', 'come', 'photo', 'sharpen', 'satur', 'pic', 'sharp', 'imag', 'low']","photos, camera, picture"
184.0,"['qualiti', 'zoom,', 'front', '10x', '30x', 'zoom', 'pixel', 'camera', 'pictur', 'photo', 'even', 'get', '2x', 'work', 'give', 'imag']","zoom, camera"
185.0,"['look', 'overal', 'one', 'want', 'featur', 'rang', 'friend', 'recommend', 'budget', 'perform', 'price', 'ths', 'low']","budget, price"
186.0,"['mother', 'mom', 'dad', 'birthday', 'purchas', 'one', 'father', 'perfect', 'got', 'happi', 'gift', 'bought', 'like', 'love']","mother, mom , dad , gift , father"
187.0,"['background', 'mode', 'grey', 'updat', 'camera', 'tint', 'dark', 'green', 'issu', 'face', 'bright', 'display', 'screen', 'low']",green tint
188.0,"['look', 'differ', 'order', 'dark', 'green', 'white', 'color', 'blue', 'variant', 'beauti', 'colour', 'love']",color
189.0,"['qualiti', 'processor', 'look', 'enough', 'price', 'camera', 'use', '1200', 'back', 'perform', 'wth', 'fast', 'processor,', 'ths', 'camera,']","processor, camera"
190.0,"['call', 'suggest', 'return', 'use', 'lke', 'amazon', 'get', 'opton', 'replac', 'aval', 'would', 'ths', 'wth']",none
191.0,"['bit', 'size', 'inch', 'size,', 'small', 'big', 'larg', 'bigger', '67', 'display', 'screen', 'feel']","size, screen , feel"
192.0,"['qualiti', 'look', 'display,', 'one', 'poor', 'amaz', 'lcd', 'issu', 'super', 'bright', 'resolut', 'display', 'perform', 'price', 'screen']","screem , display "
193.0,"['qualiti', 'rear', 'averag', 'cam', 'camera', 'one', 'poor', 'photo', 'back', 'expect', 'ok', 'need', 'perform', 'front']","rear camera, front camera "
194.0,"['qualiti', 'look', 'front', '108', '64mp', 'camera', 'mega', '48mp', 'photo', 'mp', '50', '64', 'megapixel', '48', '108mp']",front camera
195.0,"['noth', '(with', 'time', 'room', 'improv', 'here4', 'lot', 'get', 'talk', 'still', 'pleas', 'contrast', 'need', 'thing']",none
196.0,"['time', 'differ', 'one', 'almost', 'way', 'compar', 'even', 'far', 'get', 'still', 'other', 'could', 'comparison']",none
197.0,"['worth', 'look', 'user', 'upgrad', 'one', 'use', 'major', 'lg', 'happi', 'worthi', 'previous', 'old', 'year', 'whch', 'ths', 'wth']","upgrade, worth"
198.0,"['3t', 'user', '6t', 'one', 'use', 'upgrad', 'compar', '5t', '6,', 'old', 'usng', 'year', 'ths', 'wth']","upgrade,"
199.0,"['qualiti', 'cam', 'give', 'camera', 'use', 'stock', 'photo', 'app', 'get', 'gcam', 'result', 'low', 'perform', 'imag', 'instal']","gcam , google camera"
200.0,"['androd', 'user', 'os', 'updat', 'one', 'use', 'want', 'stock', 'mu', 'would', 'exper', 'year', 'ths', 'wth']","stock, android"
201.0,"['worth', 'day', 'price', 'one', 'money', 'lke', 'rang', 'amaz', 'super', 'overal', 'deal', 'valu', 'ths']","worth , lke, money"
202.0,"['qualiti', 'wors', 'worth', 'averag', '20k', 'camera', '25k', '40k', '30k', 'rang', 'get', '14k', 'perform', 'price']","camera, price, worth"
203.0,"['worth', 'devc', 'mobl', 'feel', 'satsf', 'money', 'rs', 'lke', 'prce', 'pad', 'amount', '1000', 'extra', 'perform', 'ths', 'wth']",moeny
204.0,"['sometim', 'noth', 'time', 'working,', 'proper', 'water', 'ths', 'workng', 'garag', 'still', 'abl', 'everi', 'work', 'need', 'system']",none
205.0,"['day', 'user', 'access', 'member', 'rs', 'fool', '1000rs', 'earli', 'pay', 'non', 'charg', '1000', 'extra', 'rupe']",none
206.0,"['worth', 'money', 'definit', 'penni', 'spent', 'cost', 'worthi', 'buy', 'everi', 'total', 'price', 'spend']","money , worth"
207.0,"['ssue', 'hope', 'updat', 'next', 'thnk', 'futur', 'stll', 'softwar', 'wth', 'fx', 'ths', 'wll']",none
208.0,"['rest', 'around', 'camera', 'pictur', 'upto', 'featur', 'come', 'central', 'camera,', 'silver', 'everyth', 'mark', 'bright', 'ok', 'corner', 'fine', 'thing']",camera
209.0,"['qualiti', 'never', 'superb', 'look', 'ever', 'control', 'overal', 'one', 'poor', 'expect', 'issu', 'check', 'work', 'ok', 'low']",none
210.0,"['qualiti', 'updat', 'hope', 'camera', 'improv', 'one', 'enhanc', 'softwar', 'get', 'shot', 'expect', 'need', 'perform']",camera
211.0,"['purchas', 'redm', 'user', 'use', 'one', 'last', 'wll', 'usng', 'exper', 'bought', 'year', 'whch', 'ths', 'wth']",none
212.0,"['never', 'launch', 'purchas', 'ever', 'hope', 'one', 'model', 'love', 'last', 'custom', 'qualti', 'even', 'xaom', 'usng', 'year', 'ths', 'wll']",none
213.0,"['one', 'lot', 'major', 'found', 'issu', 'face', 'big', 'still', 'main', 'problem', 'till', 'serious']",none
214.0,"['os', 'updat', 'android', 'softwar', 'major', 'promis', 'provid', 'regular', 'month', 'secur', 'year', 'system', 'patch']","os , software , android , security "
215.0,"['tme', 'user', 'snce', 'dsappontng', 'one', 'dsappont', 'lttle', 'lke', 'wll', 'total', 'dsapponted,', 'devc', 'ths', 'wth']",none
216.0,"['octob', 'day', '2nd', 'order', 'recev', 'may', 'june', 'amazon', 'juli', 'got', 'deliv', 'receiv', 'oct', 'delver', 'ths']",none
217.0,"['time', 'day', 'thank', 'pack', 'deliveri', 'deliv', 'packag', 'amazon', 'box', 'got', 'boy', 'fast']",none
218.0,"['ssue', 'brand', 'dd', 'fnd', 'qualti', 'lke', 'even', 'get', 'face', 'expect', 'whch', 'ths', 'wth']",none
219.0,"['qualiti', 'time', 'hang', 'camera', 'use', 'app', 'issu', 'even', 'work', 'slow', 'problem', 'lag']","camera , hang"
220.0,"['1st', 'one', 'last', 'take', 'come', 'miss', 'get', 'first', 'would', 'provid', 'give', 'thing']",none
221.0,"['around', 'bank', 'convert', 'hdfc', 'blah', 'offer', 'card', 'amazon', 'emi', 'got', 'cost', 'debit', 'instant', 'discount']",none
222.0,"['defect', 'one', 'piec', 'money', 'amazon', 'faulti', 'deliv', 'replac', 'receiv', 'damag', 'servic', 'product']",none
223.0,"['averag', 'average5', 'camera', 'one', 'belev', 'ts', 'average,', 'found', 'camara', 'experi', 'usng', 'ok', 'softwar', 'ths']",camera
224.0,"['fix', 'full', 'minor', 'bug', 'model', 'money', 'lot', 'small', 'found', 'issu', 'buggi', 'yet', 'need', 'ths']","bugs, money"
225.0,"['need', 'disappoint', 'full', 'bug', 'poor', 'buggi', 'lot', 'featur', 'issu', 'even', 'experi', 'hardwar', 'exper', 'softwar']","bugs, software, hardware"
226.0,"['someon', 'tell', 'cant', 'pls', 'advis', 'one', 'next', 'someth', 'help', 'suggest', 'plz', 'pleas', 'appreci', 'would', 'know', 'need']",none
227.0,"['hope', 'updat', 'fix', 'may', 'solv', 'next', 'one', 'issu', 'resolv', 'softwar', 'problem']",none
228.0,"['never', 'it!', 'otherwis', 'doubt', 'dont', 'one', 'definit', 'els', 'alway', 'guy', 'it!!', 'without', 'pleas', 'think', 'instead']",none
229.0,"['explor', 'look', 'decis', 'right', 'one', 'want', 'wrong', 'pleas', 'think', 'decid', 'make', 'choos', 'option', 'choic']",none
230.0,"['brand', 'well', 'qualiti', 'purchas', 'price', 'use', 'one', 'trust', 'money', 'name', 'expect', 'product', 'valu', 'ths']",brand
231.0,"['need', 'test', 'day', 'updat', 'hope', 'next', 'new', 'come', 'futur', 'got', 'pleas', 'week', 'month', 'usag', 'post', 'give']",none
232.0,"['need', 'time', 'updat', 'may', 'hope', 'one', 'improv', 'come', 'keep', 'even', 'get', 'everi', 'regular', 'softwar', 'problem', 'give', 'option']",none
233.0,"['ssue', 'call', 'vst', 'day', 'one', 'servc', 'custom', 'centr', 'vsted', 'check', 'center', 'wth', 'ths', 'wll']",service
234.0,"['qualiti', 'purchas', 'onlin', 'offlin', 'dont', 'one', 'suggest', 'amazon', 'get', 'store', 'shop', 'pleas', 'receiv', 'product']",none
235.0,"['noth', 'sentenc', 'let', 'say', 'one', 'wao', 'contrari', 'word', 'take', 'talk', 'first', 'notc', 'matter']",none
236.0,"['brand', 'wors', 'purchas', 'ever', 'one', 'money', 'poor', 'compani', 'hate', 'owsom', 'experi', 'expect', 'overal', 'person', 'product', 'terribl', 'ths']",none
237.0,"['qualiti', 'superb', 'averag', 'day', 'camera', 'poor', 'back', 'backup,', 'backup', 'batteri', 'price', 'ths', 'qualti']","camera , battery"
238.0,"['qualiti', 'product,', 'look', 'superb', 'one', 'thank', 'amaz', 'super', 'product.', 'overal', 'product', 'fast', 'fantast', 'love']",none
239.0,"['never', 'purchas', 'ever', 'wast', 'dont', 'one', 'money', 'pleas', 'buy', 'buy-', 'bought', 'year', 'ths']",none
240.0,"['day', 'snce', 'say', 'one', 'thnk', 'lke', 'rang', 'usng', 'prce', 'recommend', 'wll', 'would', 'range,', 'ths', 'wth']",price
241.0,"['qualiti', 'seen', 'never', 'wast', 'ever', 'part', 'user', 'camera', 'poor', 'money', 'photo', 'even', 'ths', 'camera,']",camera
242.0,"['qualiti', 'averag', 'camera', 'poor', 'accord', 'rang', 'segment', 'expect', 'budget', 'ok', 'decent', 'price', 'point']","camera, price"
243.0,"['time', 'wast', 'ever', 'worest', 'complet', 'dont', 'full', 'money', 'hard', 'amazon', 'total', 'work', 'simpli', 'earn', 'ths']",money
244.0,"['time', 'among', 'ever', 'around', 'say', 'one', 'companion', 'alway', 'rock', 'far', 'got', 'produc', 'inc', 'era', 'beauti', 'wll']",none
245.0,"['product,', 'worth', 'afford', 'purchas', 'made', 'littl', 'one', 'reason', 'amaz', 'rang', 'cost', 'everi', 'ok', 'price', 'fantast']",none
246.0,"['qualiti', 'smooth', 'look', 'good,', 'camera', 'pictur', 'one', 'fast', 'amaz', 'video', 'decent', 'work', 'overal', 'perform', 'price', 'camera,']",performance
247.0,"['extend', 'day', 'warrenti', 'say', 'one', 'card', 'warranti', 'get', 'pay', 'cover', 'provid', 'damag', 'servic', 'year', 'repair']","warranty , service"
248.0,"['over', 'perfect', 'one', 'quit', 'pretti', 'could', 'good,', 'overall,', 'overal', 'ok', 'decent', 'fine', 'fantast', 'thing']",none
249.0,"['dscount', 'offer', 'rs', 'got', 'exchang', 'prce', 'sale', 'bought', 'durng', 'deal', 'ths', 'wth']",none
250.0,"['qualiti', 'averag', 'good,', 'camera', 'pictur', 'poor', 'photo', 'amaz', 'video', 'expect', 'ok', 'imag', 'low']",camera
251.0,"['never', 'anyone,', 'suggest', 'one', 'definit', 'anyon', 'everyon', 'would', 'recommend', 'other', 'sure', 'person', 'ths', 'wll']",none
252.0,"['never', 'purchas', 'pls', 'wast', 'dont', 'one', 'suggest', 'money', 'recommend', 'buy', 'pleas', 'think', 'ths']",none
253.0,"['worth', 'look', 'option', 'ever', 'one', 'amaz', 'segmentlov', 'everyth', 'segment,', 'segment', 'overal', 'categori', 'could', 'price', 'thing']","price, worth"
254.0,"['qualiti', 'averag', 'day', 'good,', 'camera', 'fast', 'charg', 'ok', 'batteri', 'perform', 'price', 'life', 'camera,']","camera, battery , charging"
255.0,"['time', 'ever', 'life', 'perfect', 'one', 'world', 'worst""', 'date', 'everyth', 'journey', 'theeee', 'across', 'pleas', 'first', 'worstttttt', 'exampl', 'till']",none
256.0,"['fm', 'day', 'one', 'thing', 'anyon', 'gve', 'talk', 'bcoz', 'divic', 'bade', 'ths??just', 'bad', 'wth', 'terribl', 'mean', 'ths', 'bad,']",none
257.0,"['launch', 'time', 'full', 'bit', 'littl', 'quit', 'high', 'seem', 'cost', 'specif', 'side', 'increas', 'higher', 'cheap', 'expens', 'price']","price, cost "
258.0,"['one', 'reason', 'high', 'amaz', 'rang', 'get', 'range,', 'decent', 'overal', 'ok', 'choic', 'price', 'okay', 'point']","price, cost "
259.0,"['ask', 'day', 'one', 'return', 'want', 'new', 'custom', 'item', 'amazon', 'get', 'replac', 'even', 'request', 'pleas', 'need', 'ths']",none 
260.0,"['worth', 'wast', '20000', '10000', 'one', 'rs', '15000', 'even', 'get', 'spend', 'cost', 'would', 'overal', 'price', 'ths', 'rupe']","price, worth "
261.0,"['worth', '20k', 'around', 'overal', 'one', 'money', '25k', '15k', 'get', '30k', 'rang', '10k', 'budget', 'price', 'ths']","price, worth "
262.0,"['except', 'well', 'camera', 'pictur', 'one', 'quit', 'thing', 'compar', 'photo', 'amaz', 'camera,', 'work', 'expect', 'ok', 'decent', 'love']",camera
263.0,"['never', 'look', 'purchas', 'lover', 'dont', 'camera', 'want', 'plz', 'pleas', 'buy', 'ur', 'enthusiast', 'camera,']",camera
264.0,"['ssue', 'never', 'look', 'tred', 'one', 'found', 'mu', 'sm', 'sgnal', 'face', 'see', 'notc', 'ssue,', 'ths', 'wth']",none
265.0,"['pathet', 'call', 'time', 'care', 'support', 'fix', 'one', 'help', 'custom', 'poor', 'issu', 'even', 'servic', 'problem']",customer service
266.0,"['pathet', 'ask', 'part', 'visit', 'centr', 'even', 'get', 'issu', 'avail', 'still', 'servic', 'center', 'need', 'repair']","customer service, service center, service"
267.0,"[':)', 'team', 'pick', 'job', 'offer', 'lot', 'seller', 'thank', 'wonder', 'amazon', 'amaz', 'deal', 'thankyou', 'bye', 'amazon!', 'make']",none
268.0,"['call', 'cheat', 'care', 'day', 'disappoint', 'support', 'respons', 'return', 'custom', 'amazon', 'refund', 'request', 'experi', 'servic', 'ths', 'wth']",none
269.0,"['qualiti', 'smooth', 'look', 'display,', 'good,', 'camera', 'light', 'super', 'display', 'perform', 'price', 'screen', 'camera,']","camera, performance, display, screen"
270.0,"['nce', 'camera', 'dsappont', 'ts', 'qualti', 'one', 'satsf', 'lke', 'prce', 'would', 'wth', 'ths', 'camera,']",camera
271.0,"['day', 'mobl', 'camera', 'one', 'qualti', 'chargng', 'lke', 'prce', 'wll', 'batteri', 'fast', 'ths', 'wth']",none
272.0,"['qualiti', 'smooth', 'display', 'day', 'camera', 'one', 'could', 'pros', 'charg', 'sound', 'fast', 'batteri', 'perform', 'screen']","camera, battery"
273.0,"['qualiti', 'look', 'display', 'day', 'life', 'charger', 'good,', 'battery,', 'amaz', 'big', 'super', 'batter', 'batteri', 'perform', 'screen']","display, charger, battery"
274.0,"['qualiti', 'display', 'battery,', 'build', 'display,', 'camera', 'charg', 'batteri', 'performance,', 'decent', 'processor,', 'camera,']","display, charger, battery, built , performance"
275.0,"['time', 'day', 'return', 'want', 'money', 'even', 'date', 'back', 'get', 'request', 'pleas', 'need', 'option', 'ths']",none
276.0,"['day', 'full', 'return', 'want', 'money', 'custom', 'refund', 'get', 'got', 'pleas', 'request', 'amount', 'ths', 'wll']",none
277.0,"['otherwis', 'noth', 'remain', 'well', 'apart', 'love', 'els', 'seem', 'everyth', 'everi', 'ok', 'fine', 'okay', 'thing']",none
278.0,"['worth', 'prcng', 'say', 'one', 'ts', 'reason', 'thnk', 'got', 'tag', 'prce', 'would', 'prce,', 'recommend', 'overal', 'ths', 'feel']",price
279.0,"['noth', 'excellent,', 'except', '!!!', 'actual', 'one', 'either', 'good,', 'improv', 'selfi', 'salfi', 'start', 'ok', 'thing']",none
280.0,"['except', 'user', 'pretti', 'good,', 'quit', 'trust', 'actual', 'way', 'thank', 'amaz', 'jog', 'buddi', 'total', 'yeah', 'nice.']",none
281.0,"['anoth', 'superb', 'cool', 'ya', 'clue', 'let', 'section', 'comment', 'amaz', 'get', 'guy', 'super', 'innov', 'confus', 'simpli', 'remarkable!']",none
282.0,"['day', 'one', 'revew', 'gve', 'honest', 'month', 'usng', 'week', 'usag', 'wrtng', 'ths', 'wll']",none
283.0,"['purchas', 'suggest', 'ts', 'money', 'love', 't,', 'happi', 'recommend', 'would', 'bought', 'ths', 'wll']",none
284.0,"['say', 'lked', 'one', 'desgn', 'ts', 'lke', 'thng', 'super', 'would', 'total', 'overal', 'buld', 'everythng', 'ths', 'qualti']",none
285.0,"['ssue', 'exper', 'day', 'snce', 'past', 'one', 'last', 'week', 'usng', 'month', 'year', 'ths', 'wth']",none
,,none
